Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Tobler W.R.","7006438074;","Measuring the similarity of map projections",1986,"American Cartographer","13","2",,"135","139",,9,"10.1559/152304086783900103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022697781&doi=10.1559%2f152304086783900103&partnerID=40&md5=00b0114bfc500d3fc5451cc1e2584a27","University of California, Santa Barbara, CA, 93106, United States","Tobler, W.R., University of California, Santa Barbara, CA, 93106, United States","The departure of one map projection from another can be calculated from the lengths of the vectors connecting corresponding points. This allows one to decide the relative similarity of two map projections and suggests a procedure for finding a projection close to a given one but with different properties. The departure of a map from the sphere can also be measured in this manner. © 1986 Taylor & Francis Group, LLC.","Least squares; Map comparison","MATHEMATICAL TECHNIQUES; LEAST SQUARES; MAP COMPARISON; SIMILARITY OF PROJECTIONS; MAPS AND MAPPING",,,,,,,,,,,,,,,,"Adams, O., (1945) General Theory of Equivalent Projections. USC and GS Special Publication No. 236, , Washington, D.C., GPO; Airy, A., Explanation of a projection by balance of errors for maps applying to a very large extent of the earth’s surface, and comparison of this projection with other Projections (1861) Phil Mag, 22, pp. 409-421; Behrmann, W., Zur Kritik der Flächentreuen Projektionen der ganzen Erde und einer Halbkugel (1909) Ber. Königlichen Bayer. Akad. Htss, 13, pp. 1-48; Jordan, W., Zur Vergleichung der Soldner- schen Koordinaten (1875) Z. Vermess, 4, pp. 175-190; Kavraisky, V., (1934) Mathematischeskaya Kartografiya, , Moscow, Izdat; Meshcheryakov, G., The problem of choosing the most advantageous projections. Geod (1965) Aerophogr, 4, pp. 263-268; Milnor, J., A problem in cartography (1969) Am. Math. Monthly, pp. 1101-1112; Peters, A., Uber Weltkartenverzerrungen und Wei tkarte nmi Ltel punk te. Kartgr (1978) Nachrichten, 28 (3), pp. 106-113; Tissot, M., (1881) Memoire Sur La Representation Des Surfaces Et Les Projections Des Cartes géographiques, , Paris, Gautier Villars; Tobler, W., (1964) Finite Map Projection Distortions. ONR Technical Report; Tobler, W., Numerical approaches to map projections (1977) Studies in Theoretical Cartography, pp. 51-64. , E. Kretschmer, Ed., Denticke, Vienna; Tobler, W., Polycylindrical map projections (1986) The American Cartographer, 13, pp. 117-120","Tobler, W.R.; University of California, Santa Barbara, CA, 93106, United States",,,,,,,,00941689,,,,"English","Am. Cartogr.",Article,"Final","",Scopus,2-s2.0-0022697781
"Kirkham T.H., Meyer E.","7007154688;57197917767;","Visual Field area on the goldmann hemispheric perimeter surface. Correction of cartographic errors inherent in perimetry",1981,"Current Eye Research","1","2",,"93","100",,9,"10.3109/02713688109001732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019869909&doi=10.3109%2f02713688109001732&partnerID=40&md5=b2d65a6974d1c5b55945d599dcdb6736","McGill University Departments of Ophthalmology, Neurology and Neurosurgery and Department of Neuro-Ophthalmology, Montreal Neurological Institute, Montreal, Canada","Kirkham, T.H., McGill University Departments of Ophthalmology, Neurology and Neurosurgery and Department of Neuro-Ophthalmology, Montreal Neurological Institute, Montreal, Canada; Meyer, E., McGill University Departments of Ophthalmology, Neurology and Neurosurgery and Department of Neuro-Ophthalmology, Montreal Neurological Institute, Montreal, Canada","An isopter of visual field charted using the Goldmann perimeter represents a conical area of visual space whose apex is at the eye of the subject and whose base intersects the hemispherical surface of the perimeter bowl. Conventional isopter plotting conceals cartographic distortion and leads to serious underestimates of visual field area when measured by planimetry. Mathematical methods are presented which allow estimation of the true visual field area represented by different isopters on the surface of the Goldmann hemispheric perimeter. A correction can be applied to planimetric measurements to reduce the error inherent in the transposition of the curved surface of the perimeter onto flat, polar azimuthal visual field charts. This study may form the basis for quantitative evaluation of pathological changes in the area of the visual field. © 1981 Informa UK Ltd All rights reserved: reproduction in whole or part not permitted.",,"goldmann perimeter; methodology; perimetry; visual field; visual system; Human; Mathematics; Perimetry; Support, Non-U.S. Gov't; Visual Fields",,,,,"W. Garfield Weston Foundation","ACKNOWLEDGEMENTS Aided by grants from the Canadian National Institute for the Blind and of the E.A. Baker Foundation for Prevention o f Blindness , The Mu1 ti pl e Sclerosis Society of Canada , The W. Garfield Weston Foundation and the Kiwanis Club o f Royal Mount.",,,,,,,,,,"Doesschate, J.T., Perimetric charts in aequivalent projection allowing a planimetric determination of the extension of the visual field (1947) Ophthalmologica, 113, pp. 257-270; Frisen, L., The cartographic deformations of the visual field (1970) Ophthalmologica, 161, pp. 38-54; Drance, S.M., Berry, V., Hughes, A., Studies on the effects of age on the central and peripheral isopters of the visual field in normal subjects (1967) Am. J. Ophthalmol, 63, pp. 1667-1672; Chisholm, I.A., Stead, S., Tan, L., Mekenchuk, J.W., Prognostic indicators in ocular hypertension (1980) Can. J. Ophthalmol, 15, pp. 4-8; Hart, W.M., Becker, B., Visual field changes in ocular hypertension. A computer-based study (1977) Arch. Ophthalmol, 95, pp. 1176-1179; Kirkham, T.H., Coupland, S.G.M., Increased visual field area using low reflectance coated lenses under glare conditions (1980) Can. J. Ophthalmol, 16; Nicholas, S.P., Werner, E.B., Location of early glaucomatous visual field defects (1980) Can. J. Ophthalmol, 15, pp. 131-133","Kirkham, T.H.; Montreal Neurological Institute, 3801 University Street, Montreal, QC, H3A 2B4, Canada",,,"Informa Healthcare",,,,,02713683,,CEYRD,"7297100","English","Curr. Eye Res.",Article,"Final","",Scopus,2-s2.0-0019869909
"Ranade Sanjay","7005268973;","USE OF QUADTREES FOR EDGE ENHANCEMENT.",1981,"IEEE Transactions on Systems, Man and Cybernetics","SMC-11","5",,"370","373",,9,"10.1109/tsmc.1981.4308693","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019567756&doi=10.1109%2ftsmc.1981.4308693&partnerID=40&md5=7f16a1b10384c64ecae756abe58794a1",,"Ranade, Sanjay","A quadtree approximation of a 2**n multiplied by 2**n gray level image tends to enhance edges that are strong in the original image and suppress those that are weak. An edge detector applied to such an approximation produces edges that are, in general, stronger than those obtainable from the original, though slightly displaced. Methods of combining the edge maps obtained from the original image and its quadtree approximation are examined. It is shown that the choice of a suitable combination rule results in an edge map which is superior to that obtainable by conventional means.",,"Image processing",,,,,,,,,,,,,,,,,"Ranade, Sanjay",,,,,,,,00189472,,ISYMA,,,"IEEE Trans Syst Man Cybern",Article,"Final","",Scopus,2-s2.0-0019567756
"Kau J.B., Sirmans C.F.","6604014865;7004354026;","The Functional Form of the Gravity Model",1979,"International Regional Science Review","4","2",,"127","136",,9,"10.1177/016001767900400202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018555265&doi=10.1177%2f016001767900400202&partnerID=40&md5=d1ba2397d1276011e15a22bcc8c1fac2","Department of Real Estate and Urban Development, The University of Georgia, Athens, Georgia 30602, United States","Kau, J.B., Department of Real Estate and Urban Development, The University of Georgia, Athens, Georgia 30602, United States; Sirmans, C.F., Department of Real Estate and Urban Development, The University of Georgia, Athens, Georgia 30602, United States","Gravity models have been used extensively in regional planning and transportation studies in order to examine spatial interaction. These models have been criticized, however, because their precise functional form is difficult to determine empirically. In this paper an application of a maximum likelihood method, developed by Box and Cox, is presented that allows an investigator to choose the most appropriate functional form from a general class of alternatives. This method, which imposes no additional information requirements, is applied to 1970 data on 489 trip flows among approximately 700 different travel nodes in Georgia. The log-linear functional form for the gravity model performs best in this context. © 1979, Sage Publications. All rights reserved.",,"Georgia; maximum likelihood models; spatial interaction; travel nodes; USA",,,,,,,,,,,,,,,,"Allen, W.B., An economic derivation of the ‘gravity law’ of spatial interaction: a comment on the reply (1972) journal of Regional Science, 12, pp. 119-126; Anderson, T., Intermetropolitan migration: a comparison of the hypothesis of Zipf and Stouffer (1955) American Sociological Review, 20, pp. 312-319; Beckmann, M.J., Wallace, J.P., Evaluation of users benefits arising from changes in transportation systems (1969) Transportation Science, 3, pp. 344-351; Box, G.E.P., Cox, D.R., An analysis of transformations (1964) Journal of the Royal Statistical Society, 26, pp. 211-243; Box, G.E.P., Tidwell, P., Transformation of the independent variables (1962) Technometrics, 4, pp. 211-243; Carroll, J.D., Bevis, H.W., Predicting local travel in urban regions (1957) Papers and Proceedings of the Regional Science Association, 3, pp. 410-419; Carrothers, G.A.P., An historical review of the gravity and potential concepts of human interaction (1956) Journal of the American Institute of Planners, 22, pp. 94-102; Golob, T.F., Beckmann, M., A utility model for travel forecasting (1971) Transportation Science, 5, pp. 79-90; Golob, T.F., Gustafson, R.L., Beckmann, M.J., An economic utility theory approach to spatial interaction (1973) Papers of the Regional Science Association, 30, pp. 159-182; Howrey, E.P., On the choice of forecasting models for air travel (1969) Journal of Regional Science, 9, pp. 215-224; Isard, W., (1960) Methods of regional analysis: an introduction to regional science, , Cambridge The M.I.T. Press; Isard, W., An introduction to regional science (1975), Prentice-Hall. Englewood Cliffs, N.J; Isard, W., A simple rationale for gravity model type behavior (1975) Papers of the Regional Science Association, 35, pp. 25-30; Isard, W., Freutel, G., Regional and national product projections and their interrelation. In Long Range Economic Projection, Studies in Income and Wealth (1954) National Bureau of Economic Research Princeton, 16. , Princeton University Press; Lee, C., (1973) Models in planning, , Pergamon Press; Niedercorn, J.H., Bechdolt, B.V., Jr., An economic derivation of the ‘gravity law’ of spatial interaction (1969) Journal of Regional Science, 9, pp. 273-282; Olsson, G., (1965) Distance and human interaction: a review and bibliography, , Philadelphia Regional Science Research Institute; Quandt, R.E., Baumol, W.J., The demand for abstract transport modes: theory and measurement (1966) Journal of Regional Science, 6, pp. 13-26; Quandt, R.E., Baumol, W.J., The demand for abstract transport modes: some hopes (1969) Journal of Regional Science, 9, pp. 159-162; Quandt, R.E., Young, K.H., Cross-sectional travel demand models: estimates and tests (1969) Journal of Regional Science, 9, pp. 201-224; Smith, T.F., An axiomatic theory of spatial discounting behavior (1975) Papers of the Regional Science Association, 35, pp. 31-44; Wilson, A.G., Some new forms of spatial interaction model: a review (1968) Transportation Research, 9, pp. 167-179; Wilson, A.G., (1970) Entropy in urban and regional modelling, , London Pion; Zipf, G.K., The P1P2/D hypothesis on the intercity movement of persons (1946) American Sociological Review, 11, pp. 677-686; Zipf, G.K., (1949) Human behavior and the principle of least effort, , Cambridge Addison-Wesley Press",,,,,,,,,01600176,,,,"English","Int. Reg. Sci. Rev.",Article,"Final","",Scopus,2-s2.0-0018555265
"Grafarend E.","","Geodetic Prediction Concepts",1975,"Methoden und Verfahren der mathematicshen Physik","13",,,"161","200",,9,,,,"Grafarend, E.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-84918270918
"Cordey-Hayes M.","6602611383;","Dynamic frameworks for spatial models",1972,"Socio-Economic Planning Sciences","6","4",,"365","385",,9,"10.1016/0038-0121(72)90012-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-49649136041&doi=10.1016%2f0038-0121%2872%2990012-2&partnerID=40&md5=b94aa9e925eb3a8d1d31b639b2949d3c","Centre for Environmental Studies, 5 Cambridge Terrace, Regent's Park, London, NW1 4JL England, United Kingdom","Cordey-Hayes, M., Centre for Environmental Studies, 5 Cambridge Terrace, Regent's Park, London, NW1 4JL England, United Kingdom","Urban simulation models are required to test and compare the effects and repercussions of alternative planning policies. Existing comparative static models are seriously limited in their ability to discuss growth and change, but existing dynamic simulation models are based largely on untested hypotheses. This paper emphasises the importance of integrating dynamic simulation modelling with a serious programme of experimental research devoted to the formal understanding of urban growth processes. It aims to explore which theoretical frameworks provide a useful orientation for this experimental research and concludes that the Markov property and kinetic theory allow a structuring of research by providing initially an accounting framework for the description of change through time, but the paper then emphasises that the experimentally observed transition parameters used in these approaches must be related to the causal variables that influence this change. Kinetic theory is then developed to illustrate this approach of hypotheses making within a time-oriented accounting framework and it is shown how the approach gives useful insights on the introduction of behavioral inputs into aggregate models. Migration analysis is taken as a focus because in simulation models this process is used to link the demographic and employment sectors, but also because it is the most volatile and currently least predictable component of population change. Ginsberg [1] has presented recently a strategy for integrating probabilistic migration models with causal theory which is based on Luce's [2] theory of choice behavior. The present paper differs in several ways, partly because the interest here primarily is in the provision of dynamic frameworks for spatial allocation models, but also because this paper focuses on kinetic theory as a source of insight on how this integration may be achieved. © 1972.",,,,,,,,,,,,,,,,,,"Ginsbergeb, (1971) Critique of Probabilistic Models and Introducing Causal Structure and Exogeneous Information with Probabilistic Models, , Centre for Environmental Studies, London, Working Paper 73; Luce, (1959) Individual Choice Behavior, , J. Wiley, New York; Massey, Cordey-Hayes, The use of models in structural planning (1971) Plann. Rev., 42, pp. 28-44; Schon, (1971) Beyond the Stable State, , Temple-Smith, London; Barras, Broadbent, Cordey-Hayes, Massey, Robinson, Willis, An operational urban development model of Cheshire (1971) Environment and Planning A, 3, pp. 115-233; Forrester, (1969) Urban Dynamics, , M.I.T. Press; Hamilton, Goldstone, Milliman, Pugh, Roberts, Zellner, (1969) Systems Simulation for Regional Analysis, , M.I.T. Press; Coleman, (1968) Methodology in Social Research, , M. Blalock, Ann B. Blalock, McGraw-Hill, New York, chapter 11; Batty, Modelling cities as dynamic systems (1971) Nature, 231, pp. 425-428; Butler, Chapin, Hemmens, Kaiser, Stegman, Weiss, Moving Behavior and Residential Choice (1969) Report 81, , Highways Research Board; Wilson, (1970) Entropy in Urban and Regional Modelling, , Pion, London; Wilson, A statistical theory of spatial distribution (1967) Transpn Res., 1, pp. 253-269; Whittle, (1970) Probability, , Penguin, London; Feller, (1966) An Introduction to Probability Theory and its Application, 2. , J. Wiley, London; Tomlin, Time-dependent traffic distributions (1969) Environment and Planning A, 1, pp. 221-227; Rogers, (1966) A Markovian Policy Model of Inter-regional Migration, Paper of Regional Science Association, 17; Rosen, (1970) Dynamic System Theory in Biology, , J. Wiley, New York","Cordey-Hayes, M.; Centre for Environmental Studies, 5 Cambridge Terrace, Regent's Park, London, NW1 4JL England, United Kingdom",,,,,,,,00380121,,,,"English","Socio-Econ. Plann. Sci.",Article,"Final","",Scopus,2-s2.0-49649136041
"Malinǵ D.H.","7801383607;","A review of some russian map projections",1960,"Empire Survey Review","15","115",,"203","215",,9,"10.1179/sre.1960.15.115.203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996240393&doi=10.1179%2fsre.1960.15.115.203&partnerID=40&md5=1559e49190cf88c3a0e038c34d6bfef7",,"Malinǵ, D.H.","It is not remarkable that during the long period of cultural isolation, which has continued for nearly 45 years, some new ideas have originated from the work of Russian geodesists and cartographers. During this period a number of new projections have been proposed and some extremely interesting ideas have been developed about modifications to certain well known graticules. There are even several projections which were first described in Russia during the first decade of this century which have, apparently, never been mentioned in the western literature on the subject. The present paper is intended to review the whole scope of the work which may be unfamiliar to western readers. © 1960, Maney Publishing. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,02671034,,,,"English","Emp. Surv. Rev.",Article,"Final","",Scopus,2-s2.0-84996240393
"Masuyama M.","","Correlation between tensor quantities",1939,"Proc. Phys.-Math. Soc. Japan","21","3",,"638","647",,9,,,,"Masuyama, M.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-0006753653
"Young A.E.","",[No title available],1920,"Some Investigations in the Theory of Map Projections",,,,"","",,9,,,,"Young, A.E.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-3042907914
"Chebyshev P.L.","","Sur la construction ries cartes géographiques",1856,"Bulletin de l'Academie Imperiale des Sciences (St. Petersburg), Classe Physico-Mathematique","14",,,"257","261",,9,,,,"Chebyshev, P.L.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-34249720634
"Tobler W.","55944307900;","Movement modeling on the sphere",1997,"Geographical and Environmental Modelling","1","1",,"97","103",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031469211&partnerID=40&md5=eb80919360904943ad851248dfcee272","Geography Department, University of California, Santa Barbara CA 93106-4060, United States","Tobler, W., Geography Department, University of California, Santa Barbara CA 93106-4060, United States","A transition is made from an initial discrete model of migration to a spatially continuous version by letting the number of geographic places increase without bound. When this happens the parameters become continuous functions of location and the model is written in terms of partially differential equations. It is then shown how this formulation needs to be modified to apply to a migration model on the surface of the Earth, considered spherical. The corresponding spherical finite difference equations are derived. As an abstract model the equations may also be used to describe any type of movement, including commodity movements, etc., on the surface of the Earth. The implications for data collection, however, are severe because the model assumes that the necessary empirical information is given by spherical quadrilaterals.",,"data collection; migration model; modelling approach",,,,,,,,,,,,,,,,,"Tobler, W.; Geography Department, , Santa Barbara CA 93106-4060, United States",,,,,,,,13615939,,,,"English",,Article,"Final","",Scopus,2-s2.0-0031469211
"Rase W.-D.","","Fischauge-Projektionen als kartographische Lupen",1997,"Salzburger Geographische Materialien",,"26",,"115","122",,8,,,,"Rase, W.-D.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-28344439299
"Györffy J.","","Anmerkungen zur Frage der besten echten Zylinderabbildungen",1990,"Kartographische Nachrichten","40","4",,"140","146",,8,,,,"Györffy, J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-3042944976
"Berggren J.","","A comparison of four analemmas for determining the azimuth of the Qibla",1980,"Journal for the History of Arabic Science","4",,,"69","80",,8,,,,"Berggren, J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-2142797616
"Weaver T., Downing T.","",[No title available],1976,"Mexican Migration",,,,"","",,8,,,,"Weaver, T.; Downing, T.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-0004484037
"Wittick R.","","A computer system for mapping and analyzing transportation networks",1976,"Southeastern Geographer","16","1",,"74","81",,8,,,,"Wittick, R.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-27844550875
"Sen A.K.","57190102101;","On a Class of Map Transformations",1976,"Geographical Analysis","8","1",,"23","37",,8,"10.1111/j.1538-4632.1976.tb00526.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-28344451331&doi=10.1111%2fj.1538-4632.1976.tb00526.x&partnerID=40&md5=374233d47d3836ed12ab9eed4ce311c6",,"Sen, A.K.","This paper considers contiguity preserving map transformations (or cartograms) that have a preassigned arcal scale. Because for each such scale it is possible to construct infinitely many transformations, this paper investigates restrictions under which such cartograms are possible. It is shown that it is possible to construct transformations that preserve the location of boundaries and of any finite number of predefined points. However, these cartograms are often quite distorted. Different types of distortions and suitable measures are discussed. 1976 The Ohio State University",,,,,,,,,,,,,,,,,,"Ahlfors, L.V., (1966) Lectures on Quasiconformal Mappings, , Princeton:, Van Nostrand; Ahlfors, L.V., “On Quasiconformal Mappings.” (1954) Journal d'Analyse Mathematique, 3, pp. 1-58; Angel, S., Hyman, G.M., “Transformations and Geographic Theory.” (1972) Geographical Analysis, 4, pp. 350-367; Apostol, T.M., (1957) Mathematical Analysis, , Reading, Mass:, Addison‐Wesley; Khara, I.S., (1953), pp. 289-293. , “A Method of Approximate Conformal Mapping of Polygonal Regions onto a Unit Circle.” AN UKRRSR Dopividi Mp/4, (. English trans. FTD‐TT‐65‐1237, 1965) Foreign Technology Division, Air Force Systems Command; Nehari, Z., (1961) Introduction to Complex Analysis, , Boston:, Allyn and Bacon; Oxtoby, J.C., Ulam, S.M., “Measure Preserving Homeomorphisms and Metric Transitivity.” (1941) The Annals of Mathematics, 42, pp. 874-920; Royden, H.L., (1963) Real Analysis, , New York:, Macmillan; Tissot, M.A., (1881) Mémoire sur la représentation des surfaces, , Paris; Toblek, W.R., “Geographical Area and Map Projections.” (1963) Geographical Review, 53, pp. 59-78; Willmore, T.J., (1959) An Introduction to Differential Geometry, , Oxford","Sen, A.K.",,,,,,,,00167363,,,,"English","Geogr. Anal.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-28344451331
"Barton B., Tobler W.","57191387705;7006438074;","A Spectral Analysis of Innovation Diffusion",1971,"Geographical Analysis","3","2",,"182","186",,8,"10.1111/j.1538-4632.1971.tb00361.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989499834&doi=10.1111%2fj.1538-4632.1971.tb00361.x&partnerID=40&md5=51b33340b1b6042714adb9e5d3b89c8f",,"Barton, B.; Tobler, W.",[No abstract available],,,,,,,,,,,,,,,,,,"Barber, N., (1961) Experimental Correlograms and Fourier Transforms, , New York:, Macmillan; Dobrin, M., Pincus, M., “Geological Applications of Optical Data Processing” (1966) J. Geophysical Res, 71, pp. 4861-4869; Esler, J., Preston, F., (1967) Program to Compute the Power Spectrum of Geological Surfaces, , Laurence, Kan.:, Kansas State Geological Survey; Fishman, G., (1969) Spectral Methods in Econometrics, , Cambridge:, Harvard University Press; Flinn, E., “The MIT Geophysical Analysis Group Reports” (1967) Geophysics, 32, pp. 411-525; Geyer, R., (1969) The Robinson‐Treital Reader, , Seismograph Service Corp; Granger, C., “The Typical Spectral Shape of an Economic Variable” (1966) Econometrica, 34, pp. 150-161; Hägerstrand, T., “A Monte Carlo Approach to Diffusion” (1967) Quantitative Geography, 1. , W. Garrison, D. Marble,. Evanston, Ill.:, Northwestern University Press; Huang, T., “The Combined Use of Digital Computers and Coherent Optics in Image Processing” (1967) Proceedings, Computerized Images Techniques Seminar, , J. Mantell, Washington, D.C.:, Society of Photo Optical Instrumentation Engineers; Lohman, A., Paris, D., “Space Variant Image Formation” (1965) J. Opt. Soc. Amer, 55, pp. 1007-1013; MacDougall, E., “Spatial Filtering” (1970) Economic Geography, 46, pp. 425-434; Morrill, R., “The Shape of Diffusion in Space and Time” (1970) Economic Geography, 46, pp. 259-268; Rosenfeld, A., (1969) Picture Processing by Computer, , New York:, Academic Press; Tobler, W., “Geographical Filters and Their Inverses” (1969) Geographical Analysis, 1, pp. 234-253; Tobler, W., “The Spectrum of US 40” (1969) Papers, Regional Science Assoc, 23, pp. 45-52","Barton, B.",,,,,,,,00167363,,,,"English","Geogr. Anal.",Article,"Final","",Scopus,2-s2.0-84989499834
"Garbrecht D.","","Frequency distributions of pedestrians in a rectangular grid",1970,"Journal of Transport Economics and Policy","4","1",,"66","88",,8,,,,"Garbrecht, D.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-0042950886
"Connelly D.","",[No title available],1968,"The coding and storage of terrain height data: An Introduction to numerical cartography",,,,"","",,8,,,,"Connelly, D.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-84916837383
"Getis A.","","A Method for the Study of Sequences in Geography",1967,"Transactions: Institute of British Geographers","42",,,"87","92",,8,,,,"Getis, A.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-84866603152
"Beale E.M.L.","","An algorithm for solving the transportation problem when the shipping cost over each route is convex",1959,"Naval Research Logistics Quarterly","6","1",,"43","56",,8,,,,"Beale, E.M.L.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-84910493464
"Porter P.W.","","Putting the isopleth in its place",1958,"Proceedings of the Minnesota Academy of Science","25-26",,,"372","384",,8,,,,"Porter, P.W.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-84888685439
"Mackay J.R.","56930011100;","GEOGRAPHIC CARTOGRAPHY1",1954,"Canadian Geographer / Le Géographe canadien","1","4",,"1","14",,8,"10.1111/j.1541-0064.1954.tb01732.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979127680&doi=10.1111%2fj.1541-0064.1954.tb01732.x&partnerID=40&md5=389aa8b3abec9c61a138505e8d2ba723",,"Mackay, J.R.",[No abstract available],,,,,,,,,,,,,,,,,,,"Mackay, J.R.",,,,,,,,00083658,,,,"English","Can. Geogr.",Article,"Final","",Scopus,2-s2.0-84979127680
"Raisz E.","23087554400;","Rectangular Statistical Cartograms of the World",1936,"Journal of Geography","35","1",,"8","10",,8,"10.1080/00221343608987880","https://www.scopus.com/inward/record.uri?eid=2-s2.0-28344443655&doi=10.1080%2f00221343608987880&partnerID=40&md5=5198a327a55c39eb4fe21b18f46afa3c","Harvard University, United States","Raisz, E., Harvard University, United States",[No abstract available],,,,,,,,,,,,,,,,,,,"Raisz, E.; Harvard UniversityUnited States",,,,,,,,00221341,,,,"English","J. Geogr.",Article,"Final","",Scopus,2-s2.0-28344443655
"Lambert J.","",[No title available],1772,"Notes and Comments on the Composition of Terrestrial and Celestial Maps. Tobler Translation",,,,"","",,8,,,,"Lambert, J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-54949137927
